,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
0,0,0,0,55,2,0,1,1,1,0,0,4,1,5,0,1,3,3,1,0,0,0,1,1
1,0,1,0,80,1,2,0,1,1,0,0,4,1,5,0,1,3,3,1,0,0,0,1,0
2,0,1,0,80,1,4,1,1,1,0,0,4,1,5,0,1,3,3,1,0,0,0,1,1
3,0,1,0,80,1,3,0,1,1,0,0,4,1,5,0,1,3,3,1,1,0,0,1,0
4,0,1,0,80,2,2,1,1,1,0,0,4,1,5,0,1,3,3,1,0,0,0,1,0
5,0,1,0,80,2,2,0,1,1,0,0,4,1,5,0,1,3,3,1,1,0,0,1,0
6,0,1,0,80,2,2,1,1,1,0,0,4,1,5,0,1,3,3,1,1,0,0,1,0
7,0,1,0,80,2,0,1,1,1,0,0,4,1,5,0,1,3,3,1,1,0,0,1,1
8,0,1,0,80,3,2,0,1,1,0,0,4,1,5,0,1,3,3,1,0,0,0,1,0
9,0,1,0,80,3,0,0,1,1,0,0,4,1,5,0,1,3,3,1,1,0,0,1,1
10,0,1,0,55,2,2,0,1,1,0,0,4,1,5,0,1,3,3,1,0,0,0,1,0
11,0,1,0,55,2,3,1,1,1,0,0,4,1,5,0,1,3,3,1,1,0,0,1,1
12,0,0,0,55,1,2,0,1,1,0,0,4,1,5,0,1,3,3,1,0,0,0,1,0
13,1,0,0,55,3,4,1,1,1,0,0,4,1,5,0,1,3,3,1,0,0,1,0,1
14,1,0,0,55,3,1,1,1,1,0,0,4,1,5,0,1,3,3,1,1,0,0,1,0
15,1,0,0,80,3,2,0,1,1,0,0,4,1,5,0,1,3,3,1,0,0,0,1,0
16,2,0,0,55,0,2,0,1,1,0,0,4,1,5,0,1,3,3,1,1,1,0,1,0
17,2,0,0,55,0,4,1,1,1,0,0,4,1,5,0,1,3,3,1,1,1,0,1,1
18,2,0,0,80,0,1,1,1,1,0,0,4,1,5,0,1,3,3,1,1,0,0,1,0
19,2,0,0,80,0,3,0,1,1,0,0,4,1,5,0,1,3,3,1,0,0,1,0,1
20,2,0,0,55,0,0,1,1,1,0,0,4,1,5,0,1,3,3,1,0,0,0,1,1
21,2,0,0,55,0,2,0,1,1,0,0,4,1,5,0,1,3,3,1,1,0,0,1,0
22,0,0,0,55,2,0,1,1,6,0,0,2,2,1,0,3,2,2,0,0,0,0,1,1
23,0,1,0,80,1,2,0,1,6,0,0,2,2,1,0,3,2,2,0,0,0,0,1,1
24,0,1,0,80,1,4,1,1,6,0,0,2,2,1,0,3,2,2,0,0,0,0,1,0
25,0,1,0,80,1,3,0,1,6,0,0,2,2,1,0,3,2,2,0,1,0,0,1,1
26,0,1,0,80,2,2,1,1,6,0,0,2,2,1,0,3,2,2,0,0,0,0,1,1
27,0,1,0,80,2,2,0,1,6,0,0,2,2,1,0,3,2,2,0,1,0,0,1,1
28,0,1,0,80,2,2,1,1,6,0,0,2,2,1,0,3,2,2,0,1,0,0,1,0
29,0,1,0,80,2,0,1,1,6,0,0,2,2,1,0,3,2,2,0,1,0,0,1,1
30,0,1,0,80,3,2,0,1,6,0,0,2,2,1,0,3,2,2,0,0,0,0,1,0
31,0,1,0,80,3,0,0,1,6,0,0,2,2,1,0,3,2,2,0,1,0,0,1,1
32,0,1,0,55,2,2,0,1,6,0,0,2,2,1,0,3,2,2,0,0,0,0,1,1
33,0,1,0,55,2,3,1,1,6,0,0,2,2,1,0,3,2,2,0,1,0,0,1,1
34,0,0,0,55,1,2,0,1,6,0,0,2,2,1,0,3,2,2,0,0,0,0,1,1
35,1,0,0,55,3,4,1,1,6,0,0,2,2,1,0,3,2,2,0,0,0,1,0,0
36,1,0,0,55,3,1,1,1,6,0,0,2,2,1,0,3,2,2,0,1,0,0,1,0
37,1,0,0,80,3,2,0,1,6,0,0,2,2,1,0,3,2,2,0,0,0,0,1,0
38,2,0,0,55,0,2,0,1,6,0,0,2,2,1,0,3,2,2,0,1,1,0,1,0
39,2,0,0,55,0,4,1,1,6,0,0,2,2,1,0,3,2,2,0,1,1,0,1,0
40,2,0,0,80,0,1,1,1,6,0,0,2,2,1,0,3,2,2,0,1,0,0,1,0
41,2,0,0,80,0,3,0,1,6,0,0,2,2,1,0,3,2,2,0,0,0,1,0,1
42,2,0,0,55,0,0,1,1,6,0,0,2,2,1,0,3,2,2,0,0,0,0,1,0
43,2,0,0,55,0,2,0,1,6,0,0,2,2,1,0,3,2,2,0,1,0,0,1,0
44,0,0,0,55,2,0,1,1,6,2,1,4,3,6,1,2,2,2,1,0,0,0,1,1
45,0,1,0,80,1,2,0,1,6,2,1,4,3,6,1,2,2,2,1,0,0,0,1,1
46,0,1,0,80,1,3,0,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,1
47,0,1,0,80,2,2,0,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,1
48,0,1,0,80,2,2,1,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,1
49,0,1,0,80,3,0,0,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,1
50,0,1,0,55,2,3,1,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,1
51,0,2,0,80,1,0,0,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,1
52,0,2,0,80,1,3,0,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,1
53,0,2,0,80,1,4,1,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,1
54,0,2,0,80,2,0,1,1,6,2,1,4,3,6,1,2,2,2,1,0,0,0,1,1
55,0,2,0,55,2,0,1,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,1
56,0,2,0,55,3,2,0,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,0
57,1,0,0,55,3,4,1,1,6,2,1,4,3,6,1,2,2,2,1,0,0,1,0,1
58,1,0,0,55,3,1,1,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,0
59,1,0,0,80,3,2,0,1,6,2,1,4,3,6,1,2,2,2,1,0,0,0,1,1
60,2,0,0,55,0,2,0,1,6,2,1,4,3,6,1,2,2,2,1,1,1,0,1,0
61,2,0,0,55,0,4,1,1,6,2,1,4,3,6,1,2,2,2,1,1,1,0,1,1
62,2,0,0,80,0,1,1,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,1
63,2,0,0,80,0,3,0,1,6,2,1,4,3,6,1,2,2,2,1,0,0,1,0,0
64,2,0,0,55,0,0,1,1,6,2,1,4,3,6,1,2,2,2,1,0,0,0,1,1
65,2,0,0,55,0,2,0,1,6,2,1,4,3,6,1,2,2,2,1,1,0,0,1,0
66,0,0,0,55,2,0,1,1,1,0,0,3,2,1,2,1,2,1,2,0,0,0,1,0
67,0,1,0,80,1,2,0,1,1,0,0,3,2,1,2,1,2,1,2,0,0,0,1,1
68,0,1,0,80,1,4,1,1,1,0,0,3,2,1,2,1,2,1,2,0,0,0,1,1
69,0,1,0,80,1,3,0,1,1,0,0,3,2,1,2,1,2,1,2,1,0,0,1,1
70,0,1,0,80,2,2,1,1,1,0,0,3,2,1,2,1,2,1,2,0,0,0,1,1
71,0,1,0,80,2,2,0,1,1,0,0,3,2,1,2,1,2,1,2,1,0,0,1,1
72,0,1,0,80,2,2,1,1,1,0,0,3,2,1,2,1,2,1,2,1,0,0,1,1
73,0,1,0,80,2,0,1,1,1,0,0,3,2,1,2,1,2,1,2,1,0,0,1,1
74,0,1,0,80,3,2,0,1,1,0,0,3,2,1,2,1,2,1,2,0,0,0,1,1
75,0,1,0,80,3,0,0,1,1,0,0,3,2,1,2,1,2,1,2,1,0,0,1,1
76,0,1,0,55,2,2,0,1,1,0,0,3,2,1,2,1,2,1,2,0,0,0,1,1
77,0,1,0,55,2,3,1,1,1,0,0,3,2,1,2,1,2,1,2,1,0,0,1,1
78,0,0,0,55,1,2,0,1,1,0,0,3,2,1,2,1,2,1,2,0,0,0,1,1
79,1,0,0,55,3,4,1,1,1,0,0,3,2,1,2,1,2,1,2,0,0,1,0,1
80,1,0,0,55,3,1,1,1,1,0,0,3,2,1,2,1,2,1,2,1,0,0,1,1
81,1,0,0,80,3,2,0,1,1,0,0,3,2,1,2,1,2,1,2,0,0,0,1,1
82,2,0,0,55,0,2,0,1,1,0,0,3,2,1,2,1,2,1,2,1,1,0,1,1
83,2,0,0,55,0,4,1,1,1,0,0,3,2,1,2,1,2,1,2,1,1,0,1,0
84,2,0,0,80,0,1,1,1,1,0,0,3,2,1,2,1,2,1,2,1,0,0,1,1
85,2,0,0,80,0,3,0,1,1,0,0,3,2,1,2,1,2,1,2,0,0,1,0,1
86,2,0,0,55,0,0,1,1,1,0,0,3,2,1,2,1,2,1,2,0,0,0,1,1
87,2,0,0,55,0,2,0,1,1,0,0,3,2,1,2,1,2,1,2,1,0,0,1,1
88,0,0,0,55,2,0,1,1,2,1,0,4,2,4,2,4,3,2,1,0,0,0,1,1
89,0,1,0,80,1,2,0,1,2,1,0,4,2,4,2,4,3,2,1,0,0,0,1,1
90,0,1,0,80,1,4,1,1,2,1,0,4,2,4,2,4,3,2,1,0,0,0,1,1
91,0,1,0,80,1,3,0,1,2,1,0,4,2,4,2,4,3,2,1,1,0,0,1,0
92,0,1,0,80,2,2,1,1,2,1,0,4,2,4,2,4,3,2,1,0,0,0,1,1
93,0,1,0,80,2,2,0,1,2,1,0,4,2,4,2,4,3,2,1,1,0,0,1,0
94,0,1,0,80,2,2,1,1,2,1,0,4,2,4,2,4,3,2,1,1,0,0,1,1
95,0,1,0,80,2,0,1,1,2,1,0,4,2,4,2,4,3,2,1,1,0,0,1,1
96,0,1,0,80,3,2,0,1,2,1,0,4,2,4,2,4,3,2,1,0,0,0,1,0
97,0,1,0,80,3,0,0,1,2,1,0,4,2,4,2,4,3,2,1,1,0,0,1,0
98,0,1,0,55,2,2,0,1,2,1,0,4,2,4,2,4,3,2,1,0,0,0,1,0
99,0,1,0,55,2,3,1,1,2,1,0,4,2,4,2,4,3,2,1,1,0,0,1,1
100,0,0,0,55,1,2,0,1,2,1,0,4,2,4,2,4,3,2,1,0,0,0,1,0
101,1,0,0,55,3,4,1,1,2,1,0,4,2,4,2,4,3,2,1,0,0,1,0,1
102,1,0,0,55,3,1,1,1,2,1,0,4,2,4,2,4,3,2,1,1,0,0,1,0
103,1,0,0,80,3,2,0,1,2,1,0,4,2,4,2,4,3,2,1,0,0,0,1,0
104,2,0,0,55,0,2,0,1,2,1,0,4,2,4,2,4,3,2,1,1,1,0,1,1
105,2,0,0,55,0,4,1,1,2,1,0,4,2,4,2,4,3,2,1,1,1,0,1,1
106,2,0,0,80,0,1,1,1,2,1,0,4,2,4,2,4,3,2,1,1,0,0,1,0
107,2,0,0,80,0,3,0,1,2,1,0,4,2,4,2,4,3,2,1,0,0,1,0,1
108,2,0,0,55,0,0,1,1,2,1,0,4,2,4,2,4,3,2,1,0,0,0,1,1
109,2,0,0,55,0,2,0,1,2,1,0,4,2,4,2,4,3,2,1,1,0,0,1,1
110,0,0,0,55,2,0,1,0,2,2,1,2,0,5,0,1,4,3,0,0,0,0,1,1
111,0,1,0,80,1,2,0,0,2,2,1,2,0,5,0,1,4,3,0,0,0,0,1,1
112,0,1,0,80,1,3,0,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,1
113,0,1,0,80,2,2,0,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,1
114,0,1,0,80,2,2,1,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,1
115,0,1,0,80,3,0,0,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,1
116,0,1,0,55,2,3,1,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,1
117,0,2,0,80,1,0,0,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,1
118,0,2,0,80,1,3,0,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,1
119,0,2,0,80,1,4,1,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,0
120,0,2,0,80,2,0,1,0,2,2,1,2,0,5,0,1,4,3,0,0,0,0,1,1
121,0,2,0,55,2,0,1,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,1
122,0,2,0,55,3,2,0,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,0
123,1,0,0,55,3,4,1,0,2,2,1,2,0,5,0,1,4,3,0,0,0,1,0,0
124,1,0,0,55,3,1,1,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,0
125,1,0,0,80,3,2,0,0,2,2,1,2,0,5,0,1,4,3,0,0,0,0,1,0
126,2,0,0,55,0,2,0,0,2,2,1,2,0,5,0,1,4,3,0,1,1,0,1,0
127,2,0,0,55,0,4,1,0,2,2,1,2,0,5,0,1,4,3,0,1,1,0,1,0
128,2,0,0,80,0,1,1,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,0
129,2,0,0,80,0,3,0,0,2,2,1,2,0,5,0,1,4,3,0,0,0,1,0,0
130,2,0,0,55,0,0,1,0,2,2,1,2,0,5,0,1,4,3,0,0,0,0,1,1
131,2,0,0,55,0,2,0,0,2,2,1,2,0,5,0,1,4,3,0,1,0,0,1,0
132,0,0,0,55,2,0,1,1,2,0,0,2,4,3,4,4,4,4,4,0,0,0,1,1
133,0,1,0,80,1,2,0,1,2,0,0,2,4,3,4,4,4,4,4,0,0,0,1,0
134,0,1,0,80,1,4,1,1,2,0,0,2,4,3,4,4,4,4,4,0,0,0,1,1
135,0,1,0,80,1,3,0,1,2,0,0,2,4,3,4,4,4,4,4,1,0,0,1,0
136,0,1,0,80,2,2,1,1,2,0,0,2,4,3,4,4,4,4,4,0,0,0,1,1
137,0,1,0,80,2,2,0,1,2,0,0,2,4,3,4,4,4,4,4,1,0,0,1,0
138,0,1,0,80,2,2,1,1,2,0,0,2,4,3,4,4,4,4,4,1,0,0,1,1
139,0,1,0,80,2,0,1,1,2,0,0,2,4,3,4,4,4,4,4,1,0,0,1,1
140,0,1,0,80,3,2,0,1,2,0,0,2,4,3,4,4,4,4,4,0,0,0,1,0
141,0,1,0,80,3,0,0,1,2,0,0,2,4,3,4,4,4,4,4,1,0,0,1,0
142,0,1,0,55,2,2,0,1,2,0,0,2,4,3,4,4,4,4,4,0,0,0,1,0
143,0,1,0,55,2,3,1,1,2,0,0,2,4,3,4,4,4,4,4,1,0,0,1,1
144,0,0,0,55,1,2,0,1,2,0,0,2,4,3,4,4,4,4,4,0,0,0,1,0
145,1,0,0,55,3,4,1,1,2,0,0,2,4,3,4,4,4,4,4,0,0,1,0,1
146,1,0,0,55,3,1,1,1,2,0,0,2,4,3,4,4,4,4,4,1,0,0,1,1
147,1,0,0,80,3,2,0,1,2,0,0,2,4,3,4,4,4,4,4,0,0,0,1,0
148,2,0,0,55,0,2,0,1,2,0,0,2,4,3,4,4,4,4,4,1,1,0,1,0
149,2,0,0,55,0,4,1,1,2,0,0,2,4,3,4,4,4,4,4,1,1,0,1,1
150,2,0,0,80,0,1,1,1,2,0,0,2,4,3,4,4,4,4,4,1,0,0,1,1
151,2,0,0,80,0,3,0,1,2,0,0,2,4,3,4,4,4,4,4,0,0,1,0,0
152,2,0,0,55,0,0,1,1,2,0,0,2,4,3,4,4,4,4,4,0,0,0,1,1
153,2,0,0,55,0,2,0,1,2,0,0,2,4,3,4,4,4,4,4,1,0,0,1,0
154,0,0,0,55,2,0,1,0,2,0,1,3,5,2,0,2,3,2,1,0,0,0,1,1
155,0,1,0,80,1,2,0,0,2,0,1,3,5,2,0,2,3,2,1,0,0,0,1,1
156,0,1,0,80,1,4,1,0,2,0,1,3,5,2,0,2,3,2,1,0,0,0,1,0
157,0,1,0,80,1,3,0,0,2,0,1,3,5,2,0,2,3,2,1,1,0,0,1,1
158,0,1,0,80,2,2,1,0,2,0,1,3,5,2,0,2,3,2,1,0,0,0,1,1
159,0,1,0,80,2,2,0,0,2,0,1,3,5,2,0,2,3,2,1,1,0,0,1,1
160,0,1,0,80,2,2,1,0,2,0,1,3,5,2,0,2,3,2,1,1,0,0,1,1
161,0,1,0,80,2,0,1,0,2,0,1,3,5,2,0,2,3,2,1,1,0,0,1,1
162,0,1,0,80,3,2,0,0,2,0,1,3,5,2,0,2,3,2,1,0,0,0,1,1
163,0,1,0,80,3,0,0,0,2,0,1,3,5,2,0,2,3,2,1,1,0,0,1,1
164,0,1,0,55,2,2,0,0,2,0,1,3,5,2,0,2,3,2,1,0,0,0,1,1
165,0,1,0,55,2,3,1,0,2,0,1,3,5,2,0,2,3,2,1,1,0,0,1,1
166,1,0,0,80,3,2,0,0,2,0,1,3,5,2,0,2,3,2,1,0,0,0,1,1
167,2,0,0,55,0,4,1,0,2,0,1,3,5,2,0,2,3,2,1,1,1,0,1,1
168,2,0,0,80,0,1,1,0,2,0,1,3,5,2,0,2,3,2,1,1,0,0,1,1
169,2,0,0,80,0,3,0,0,2,0,1,3,5,2,0,2,3,2,1,0,0,1,0,1
170,2,0,0,55,0,0,1,0,2,0,1,3,5,2,0,2,3,2,1,0,0,0,1,1
171,0,0,0,55,2,0,1,1,1,0,0,2,6,8,1,0,4,2,1,0,0,0,1,1
172,0,1,0,80,1,2,0,1,1,0,0,2,6,8,1,0,4,2,1,0,0,0,1,0
173,0,1,0,80,1,4,1,1,1,0,0,2,6,8,1,0,4,2,1,0,0,0,1,0
174,0,1,0,80,1,3,0,1,1,0,0,2,6,8,1,0,4,2,1,1,0,0,1,1
175,0,1,0,80,2,2,1,1,1,0,0,2,6,8,1,0,4,2,1,0,0,0,1,0
176,0,1,0,80,2,2,0,1,1,0,0,2,6,8,1,0,4,2,1,1,0,0,1,0
177,0,1,0,80,2,2,1,1,1,0,0,2,6,8,1,0,4,2,1,1,0,0,1,0
178,0,1,0,80,2,0,1,1,1,0,0,2,6,8,1,0,4,2,1,1,0,0,1,1
179,0,1,0,80,3,2,0,1,1,0,0,2,6,8,1,0,4,2,1,0,0,0,1,0
180,0,1,0,80,3,0,0,1,1,0,0,2,6,8,1,0,4,2,1,1,0,0,1,1
181,0,1,0,55,2,2,0,1,1,0,0,2,6,8,1,0,4,2,1,0,0,0,1,0
182,0,1,0,55,2,3,1,1,1,0,0,2,6,8,1,0,4,2,1,1,0,0,1,1
183,0,0,0,55,1,2,0,1,1,0,0,2,6,8,1,0,4,2,1,0,0,0,1,0
